transaction_id,user_id,amount,timestamp,country,state,location,device,payment_method,is_local,is_out_of_state,is_international,state_risk_level,international_risk_level,prev_transactions_24h,avg_amount_30d,transaction_hour,is_weekend,amount_to_avg_ratio,risk_score,fraud_score,label,is_high_amount,is_business_hours,is_suspicious_time
0dca1adbbcf8,9427937,152.32,2025-05-17T16:38:15.169617,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,3,2388.26,16,1,0.06,2,0,0,0,1,0
dabbee44207d,2690872,5.01,2025-04-08T11:34:36.169631,IN,Maharashtra,"Maharashtra, India",Android,Debit Card,0,1,0,2,0,1,3632.01,11,0,0.0,35,3,0,0,1,0
9ec9fdd3f796,4542639,873.94,2025-04-16T09:08:36.169644,IN,Karnataka,"Karnataka, India",iOS,Debit Card,1,0,0,0,0,2,1495.57,9,0,0.58,0,0,0,0,1,0
308b193356f8,5667903,48.39,2025-04-09T21:13:53.169656,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,2,2564.45,21,0,0.02,0,0,0,0,0,0
1a23ea96fd5d,9384515,152.92,2025-05-02T18:21:06.169667,IN,Gujarat,"Gujarat, India",Android,Debit Card,0,1,0,2,0,0,2867.08,18,0,0.05,35,3,0,0,0,0
c4704fe4d31a,4228212,524.4,2025-05-18T06:06:59.169679,US,,US,Android,Debit Card,0,0,1,0,2,1,10329.48,6,1,0.05,71,7,1,0,0,0
cb8ea17a0f07,4921339,24.16,2025-05-09T21:32:51.169692,IN,Gujarat,"Gujarat, India",iOS,Credit Card,0,1,0,2,0,0,4335.26,21,0,0.01,23,3,0,0,0,0
7fc326df54ed,8246364,80.26,2025-05-19T20:41:19.169704,CN,,CN,iOS,Credit Card,0,0,1,0,4,0,2861.36,20,0,0.03,76,8,1,0,0,0
a295af530ab4,6129465,180.03,2025-05-27T15:34:09.169716,DE,,DE,Android,Credit Card,0,0,1,0,2,1,39184.17,15,0,0.0,62,6,0,0,1,0
1da0593e5b16,4124179,23.39,2025-04-19T09:38:03.169729,IN,Gujarat,"Gujarat, India",Android,Net Banking,0,1,0,2,0,0,5496.55,9,1,0.0,29,3,0,0,1,0
0b5cc4380cc9,1199637,12.98,2025-04-10T08:28:22.169742,IN,Karnataka,"Karnataka, India",iOS,Credit Card,1,0,0,0,0,1,2544.67,8,0,0.01,7,0,0,0,0,0
dac727f33e55,2643188,26.63,2025-05-22T11:03:03.169753,IN,Maharashtra,"Maharashtra, India",iOS,UPI,0,1,0,2,0,2,2033.07,11,0,0.01,34,3,0,0,1,0
7ff8132406ef,4906322,20.51,2025-05-28T23:28:10.169765,IN,Uttar Pradesh,"Uttar Pradesh, India",Android,Credit Card,0,1,0,3,0,1,2032.03,23,0,0.01,50,5,0,0,0,0
8d4479e5cb06,5811153,9.75,2025-05-20T18:41:00.169776,IN,Rajasthan,"Rajasthan, India",Android,Credit Card,0,1,0,3,0,1,4896.46,18,0,0.0,32,4,0,0,0,0
96ad8bf08e14,5060299,10.29,2025-05-19T14:13:30.169788,IN,Maharashtra,"Maharashtra, India",Android,UPI,0,1,0,2,0,0,5371.09,14,0,0.0,29,3,0,0,1,0
00d481720ffc,5912832,73.77,2025-04-23T06:04:13.169799,IN,Maharashtra,"Maharashtra, India",iOS,UPI,0,1,0,2,0,0,5954.37,6,0,0.01,36,4,0,0,0,0
8765ef12cca1,2278800,346.92,2025-05-26T21:05:47.169811,IN,Telangana,"Telangana, India",Android,UPI,0,1,0,1,0,2,6424.94,21,0,0.05,26,2,0,0,0,0
6372ee08af07,4899893,244.52,2025-04-29T14:48:13.169823,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,0,1975.99,14,0,0.12,0,0,0,0,1,0
8d4fe1f40726,2635063,64.76,2025-04-10T01:23:31.169834,IN,Rajasthan,"Rajasthan, India",iOS,Debit Card,0,1,0,3,0,1,3565.6,1,0,0.02,65,6,0,0,0,1
7499c61e7011,1574706,14.15,2025-04-20T23:24:06.169844,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,3,1802.54,23,1,0.01,18,1,0,0,0,0
10d05bad8380,4588158,14.82,2025-05-01T23:22:58.169855,IN,Maharashtra,"Maharashtra, India",Android,Net Banking,0,1,0,2,0,2,3898.32,23,0,0.0,38,4,0,0,0,0
74ddd6c6c926,5047834,197.5,2025-05-07T09:59:57.169866,IN,Karnataka,"Karnataka, India",Android,Net Banking,1,0,0,0,0,0,3488.75,9,0,0.06,0,0,0,0,1,0
3dc19530df4a,9118158,101.53,2025-04-19T11:54:08.169877,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,3,1957.73,11,1,0.05,3,0,0,0,1,0
b9fd83379282,9642390,767.98,2025-05-12T23:06:59.169888,US,,US,Android,Net Banking,0,0,1,0,2,1,17379.96,23,0,0.04,79,8,1,0,0,0
63486c358040,7635379,112.03,2025-04-03T03:56:46.169900,IN,Delhi,"Delhi, India",iOS,Net Banking,0,1,0,2,0,2,6180.79,3,0,0.02,54,5,0,0,0,1
45746d95f334,5196407,139.66,2025-05-11T14:45:04.169912,IN,Tamil Nadu,"Tamil Nadu, India",Android,Debit Card,0,1,0,1,0,1,4984.42,14,1,0.03,14,2,0,0,1,0
1b7de07ec7e5,7953424,15.13,2025-04-19T12:31:51.169924,IN,Tamil Nadu,"Tamil Nadu, India",Android,Credit Card,0,1,0,1,0,0,5192.14,12,1,0.0,12,2,0,0,1,0
5cca7bb037f3,2538376,38.94,2025-04-24T11:47:11.169934,IN,Karnataka,"Karnataka, India",Android,UPI,1,0,0,0,0,3,1880.44,11,0,0.02,0,0,0,0,1,0
60055ca0404b,5029131,15.79,2025-05-17T19:00:38.169945,IN,West Bengal,"West Bengal, India",Android,Credit Card,0,1,0,3,0,0,2413.49,19,1,0.01,37,4,0,0,0,0
3c9def4fe790,2648585,13.34,2025-05-28T01:15:39.169956,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,5,1252.94,1,0,0.01,29,3,0,0,0,1
c18b85570a7b,8987793,142.43,2025-05-10T16:12:28.169967,GB,,GB,iOS,Credit Card,0,0,1,0,2,0,25588.28,16,1,0.01,73,7,1,0,1,0
ca5602aabbae,8444642,42.83,2025-05-18T11:35:03.169979,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,1,2493.96,11,1,0.02,0,0,0,0,1,0
8b338d183370,3927515,194.38,2025-05-07T23:02:41.169990,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,4,3299.31,23,0,0.06,12,2,0,0,0,0
f4103a96a7d2,2174217,558.66,2025-04-06T00:16:35.170002,US,,US,Android,Credit Card,0,0,1,0,2,0,20608.35,0,1,0.03,69,7,1,0,0,0
3f486717d72c,9801232,15.76,2025-05-28T11:05:30.170013,IN,Gujarat,"Gujarat, India",Android,Net Banking,0,1,0,2,0,2,7498.73,11,0,0.0,29,3,0,0,1,0
d3c32138ff41,1336048,23.58,2025-04-21T06:08:49.170024,IN,Telangana,"Telangana, India",Android,Credit Card,0,1,0,1,0,0,1463.0,6,0,0.02,34,3,0,0,0,0
aba7e74c89b3,6010509,86.66,2025-05-13T06:12:46.170036,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,3,1410.14,6,0,0.06,6,1,0,0,0,0
419e0e5177c2,4622271,12.75,2025-05-22T00:15:04.170047,IN,Telangana,"Telangana, India",iOS,Wallet,0,1,0,1,0,1,4037.81,0,0,0.0,28,2,0,0,0,0
b21c65a2859f,6012551,2929.75,2025-04-10T05:32:43.170058,GB,,GB,iOS,Net Banking,0,0,1,0,2,0,3348.1,5,0,0.87,94,9,1,0,0,1
586ef96a882e,2407912,67.88,2025-05-13T04:01:57.170070,IN,Tamil Nadu,"Tamil Nadu, India",Android,UPI,0,1,0,1,0,0,4771.62,4,0,0.01,44,4,0,0,0,1
60d2c4191df4,4261102,81.04,2025-04-29T00:59:54.170081,IN,Gujarat,"Gujarat, India",Android,Wallet,0,1,0,2,0,0,5051.03,0,0,0.02,26,3,0,0,0,0
e0fdc8b876b4,9849842,49.02,2025-05-01T06:49:36.170093,IN,Maharashtra,"Maharashtra, India",iOS,Net Banking,0,1,0,2,0,0,4328.13,6,0,0.01,41,4,0,0,0,0
23c2a04a4537,7655076,462.05,2025-04-17T17:31:44.170116,US,,US,iOS,Credit Card,0,0,1,0,2,2,17649.43,17,0,0.03,62,6,0,0,1,0
9cd2f1fd7437,4385535,63.3,2025-05-22T12:08:16.170128,CA,,CA,iOS,Debit Card,0,0,1,0,2,0,33990.04,12,0,0.0,54,5,0,0,1,0
e689582fc9c6,9254823,20.86,2025-05-17T15:14:14.170139,IN,Gujarat,"Gujarat, India",Android,UPI,0,1,0,2,0,1,3279.07,15,1,0.01,35,3,0,0,1,0
1683b9f7a5c6,3929321,192.85,2025-05-05T02:22:09.170154,IN,West Bengal,"West Bengal, India",Android,Wallet,0,1,0,3,0,0,4345.8,2,0,0.04,53,6,0,0,0,1
df462965d7ad,1825369,95.74,2025-04-17T10:38:37.170166,IN,Delhi,"Delhi, India",Android,Net Banking,0,1,0,2,0,2,4167.41,10,0,0.02,24,3,0,0,1,0
6e0acf632a39,8902991,476.57,2025-03-31T17:47:03.170178,IN,Gujarat,"Gujarat, India",Android,Debit Card,0,1,0,2,0,0,2928.01,17,0,0.16,24,3,0,0,1,0
b5ba95ece19f,9210622,539.7,2025-04-30T07:18:11.170190,IN,Karnataka,"Karnataka, India",Android,UPI,1,0,0,0,0,4,2569.44,7,0,0.21,17,2,0,0,0,0
6bc26afcfbeb,6217213,6.15,2025-05-08T06:03:35.170200,IN,Karnataka,"Karnataka, India",iOS,Credit Card,1,0,0,0,0,2,1003.57,6,0,0.01,7,1,0,0,0,0
303ec2d4422e,4539177,273.77,2025-05-27T09:30:59.170211,IN,Tamil Nadu,"Tamil Nadu, India",Android,UPI,0,1,0,1,0,1,2126.31,9,0,0.13,21,2,0,0,1,0
9f6fcc656d5a,3754728,97.55,2025-05-07T11:18:13.170225,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,4,1498.39,11,0,0.07,17,1,0,0,1,0
f57c3c20210a,9156468,210.48,2025-03-30T04:55:41.170237,IN,Karnataka,"Karnataka, India",Android,UPI,1,0,0,0,0,2,3301.02,4,1,0.06,25,2,0,0,0,1
2d8e9090066c,3457229,37.94,2025-05-14T00:43:06.170247,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,1,2170.97,0,0,0.02,0,0,0,0,0,0
4366b3a3fb12,1885604,1197.89,2025-04-29T02:28:30.170258,IN,Tamil Nadu,"Tamil Nadu, India",iOS,Credit Card,0,1,0,1,0,0,1729.15,2,0,0.69,42,4,0,0,0,1
38d2b0616608,6768771,217.25,2025-05-01T05:15:13.170269,IN,Tamil Nadu,"Tamil Nadu, India",Android,Net Banking,0,1,0,1,0,0,4868.08,5,0,0.04,37,4,0,0,0,1
95976f1aedf3,8237491,8.85,2025-05-06T05:27:11.170280,IN,Karnataka,"Karnataka, India",iOS,Debit Card,1,0,0,0,0,4,2849.12,5,0,0.0,28,3,0,0,0,1
9d6707d82f83,4624950,2.94,2025-05-09T17:27:45.170290,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,1,1940.73,17,0,0.0,0,0,0,0,1,0
fe14572c6589,9549745,145.83,2025-04-11T22:12:37.170300,IN,Telangana,"Telangana, India",Android,Debit Card,0,1,0,1,0,1,4212.08,22,0,0.03,35,3,0,0,0,0
5bfbcb88141f,7306891,877.79,2025-04-03T12:07:03.170311,IN,Uttar Pradesh,"Uttar Pradesh, India",Android,Credit Card,0,1,0,3,0,1,1620.53,12,0,0.54,41,4,0,0,1,0
5a9d4b5c4060,8903197,479.83,2025-05-01T08:45:25.170321,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,1,2711.36,8,0,0.18,3,0,0,0,0,0
19d6d831609c,6863852,68.02,2025-05-26T09:17:13.170332,IN,Kerala,"Kerala, India",Android,Credit Card,0,1,0,1,0,0,4379.44,9,0,0.02,25,2,0,0,1,0
56e7000d9451,8586610,111.81,2025-04-25T12:17:27.170342,CN,,CN,Android,Debit Card,0,0,1,0,4,0,31042.43,12,0,0.0,67,7,1,0,1,0
4abcb8d2a7dc,3348822,5.42,2025-04-03T12:20:01.170353,IN,Karnataka,"Karnataka, India",iOS,Net Banking,1,0,0,0,0,4,2089.2,12,0,0.0,13,1,0,0,1,0
23e8ad0a3b02,1304924,26.74,2025-03-31T19:06:00.170364,IN,Karnataka,"Karnataka, India",Android,UPI,1,0,0,0,0,4,1464.8,19,0,0.02,14,1,0,0,0,0
82e00d6fda10,5656610,5.48,2025-04-27T03:31:24.170374,IN,Gujarat,"Gujarat, India",iOS,Credit Card,0,1,0,2,0,1,3662.61,3,1,0.0,55,5,0,0,0,1
173fe19a7086,4591464,58.46,2025-04-03T08:03:54.170388,IN,Karnataka,"Karnataka, India",iOS,UPI,1,0,0,0,0,2,1418.54,8,0,0.04,2,0,0,0,0,0
398ab8be2f4e,1617735,105.68,2025-04-23T18:04:14.170398,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,3,1900.42,18,0,0.06,5,0,0,0,0,0
9af9c4da37f8,2208214,15.54,2025-05-10T15:00:44.170408,IN,Maharashtra,"Maharashtra, India",iOS,Credit Card,0,1,0,2,0,0,5250.42,15,1,0.0,32,3,0,0,1,0
2ae6d55a866a,4705645,989.0,2025-04-14T23:49:54.170418,CN,,CN,Android,Net Banking,0,0,1,0,4,0,26003.73,23,0,0.04,100,10,1,0,0,0
b93ac0685c59,3601518,424.32,2025-05-06T01:09:26.170430,IN,Delhi,"Delhi, India",Android,Credit Card,0,1,0,2,0,4,5001.89,1,0,0.08,57,6,0,0,0,1
5d36caf4e2fe,5089804,137.89,2025-04-21T05:25:11.170441,IN,Delhi,"Delhi, India",Android,Net Banking,0,1,0,2,0,0,3513.83,5,0,0.04,58,5,0,0,0,1
0e9108c04273,2324463,158.57,2025-05-24T15:58:41.170451,IN,Punjab,"Punjab, India",Android,Debit Card,0,1,0,2,0,0,2155.18,15,1,0.07,35,3,0,0,1,0
d3db4a4a222b,4506076,34.09,2025-05-13T16:40:49.170461,IN,Maharashtra,"Maharashtra, India",Android,Credit Card,0,1,0,2,0,0,6259.96,16,0,0.01,33,3,0,0,1,0
524826226054,1354914,14.68,2025-04-17T06:03:39.170472,IN,Gujarat,"Gujarat, India",iOS,Credit Card,0,1,0,2,0,1,4972.89,6,0,0.0,45,4,0,0,0,0
555db400ac74,7847156,15.75,2025-04-07T03:38:00.170482,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,4,2047.83,3,0,0.01,36,3,0,0,0,1
99ddf9928d61,3346311,15.34,2025-04-02T06:52:34.170492,IN,Karnataka,"Karnataka, India",Android,UPI,1,0,0,0,0,0,1649.72,6,0,0.01,15,1,0,0,0,0
c20287974338,8948403,23.0,2025-04-15T20:39:43.170502,IN,Karnataka,"Karnataka, India",Android,UPI,1,0,0,0,0,2,975.86,20,0,0.02,0,0,0,0,0,0
2defe03363df,9349602,328.38,2025-05-21T15:21:42.170512,CA,,CA,Android,Debit Card,0,0,1,0,2,1,0.0,15,0,328.38,57,5,0,0,1,0
df7fd34a774a,8408084,57.92,2025-03-31T03:58:27.170524,IN,Karnataka,"Karnataka, India",Windows,UPI,1,0,0,0,0,3,3018.04,3,0,0.02,33,3,0,0,0,1
2746ede28c21,1153659,123.73,2025-05-10T11:23:29.170535,IN,Tamil Nadu,"Tamil Nadu, India",Android,UPI,0,1,0,1,0,1,2290.57,11,1,0.05,24,2,0,0,1,0
5edf164c7fc2,9880842,152.02,2025-04-01T01:47:56.170545,IN,Bihar,"Bihar, India",iOS,Debit Card,0,1,0,3,0,0,5028.3,1,0,0.03,59,6,0,0,0,1
0080f7cf5e4e,3709177,15.28,2025-05-24T10:03:31.170556,IN,Gujarat,"Gujarat, India",Android,Credit Card,0,1,0,2,0,0,3558.33,10,1,0.0,22,3,0,0,1,0
bde91de83d34,7658853,38.4,2025-04-14T23:24:34.170567,IN,Delhi,"Delhi, India",Android,Debit Card,0,1,0,2,0,1,4305.23,23,0,0.01,34,4,0,0,0,0
78ddfe857011,1232266,866.4,2025-04-24T18:52:10.170577,CA,,CA,Android,Debit Card,0,0,1,0,2,0,8716.94,18,0,0.1,56,5,0,0,0,0
ddf82ecf6103,1144511,43.74,2025-05-18T12:08:20.170587,IN,West Bengal,"West Bengal, India",Android,Debit Card,0,1,0,3,0,1,4522.9,12,1,0.01,32,4,1,0,1,0
5fd6cb75fff0,2387697,5.34,2025-04-22T04:23:31.170597,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,3,1105.42,4,0,0.0,21,2,0,0,0,1
4d3e5c5058a1,8808929,11.71,2025-04-13T07:02:23.170607,IN,Maharashtra,"Maharashtra, India",Android,Credit Card,0,1,0,2,0,0,3579.7,7,1,0.0,32,4,0,0,0,0
86950650a3e2,4530018,14.42,2025-05-02T06:38:08.170617,IN,Delhi,"Delhi, India",iOS,Debit Card,0,1,0,2,0,1,5448.12,6,0,0.0,40,4,0,0,0,0
518daa44fe29,8279853,567.02,2025-05-21T10:32:21.170627,IN,Bihar,"Bihar, India",Android,Credit Card,0,1,0,3,0,0,4135.49,10,0,0.14,43,4,0,0,1,0
65006af5d594,8352715,72.64,2025-04-23T13:10:55.170638,IN,Telangana,"Telangana, India",Android,Debit Card,0,1,0,1,0,0,5623.65,13,0,0.01,28,2,0,0,1,0
7f3c24113f1d,3887060,175.28,2025-04-08T07:11:14.170648,GB,,GB,Android,Credit Card,0,0,1,0,2,1,27190.27,7,0,0.01,76,7,1,0,0,0
2ce02a5282b4,4001060,99.26,2025-04-15T21:06:46.170660,FR,,FR,Android,Credit Card,0,0,1,0,2,0,38326.85,21,0,0.0,53,6,0,0,0,0
23c733938ea9,9690263,4.51,2025-04-12T01:03:09.170670,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,3,1227.16,1,1,0.0,21,2,0,0,0,1
4451969931be,3460876,92.93,2025-04-21T15:12:57.170682,GB,,GB,iOS,UPI,0,0,1,0,2,0,13480.85,15,0,0.01,63,7,1,0,1,0
02d26289d195,6552766,7.95,2025-04-28T14:56:22.170692,IN,Delhi,"Delhi, India",iOS,Credit Card,0,1,0,2,0,2,6331.94,14,0,0.0,37,3,0,0,1,0
ebeb645a6fcc,9127908,62.92,2025-05-19T13:35:31.170703,IN,Maharashtra,"Maharashtra, India",Android,Credit Card,0,1,0,2,0,2,3591.99,13,0,0.02,23,3,0,0,1,0
35418e9cb9ec,8755404,31.97,2025-04-07T00:46:36.170713,IN,Karnataka,"Karnataka, India",iOS,Debit Card,1,0,0,0,0,3,1797.74,0,0,0.02,8,0,0,0,0,0
9f9046de1ab5,2259461,233.72,2025-04-30T11:30:56.170724,JP,,JP,Android,Credit Card,0,0,1,0,3,1,9583.68,11,0,0.02,68,7,1,0,1,0
8e05ce616918,5316007,12.36,2025-05-08T10:18:25.170736,IN,Delhi,"Delhi, India",Android,Credit Card,0,1,0,2,0,0,5281.01,10,0,0.0,32,3,0,0,1,0
65ffd10ebb39,5063552,575.68,2025-04-12T08:57:26.170747,IN,Maharashtra,"Maharashtra, India",Android,Credit Card,0,1,0,2,0,1,1892.27,8,1,0.3,30,3,0,0,0,0
c01c19112c78,1969575,529.68,2025-04-18T11:48:54.170757,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,3,1832.3,11,0,0.29,0,0,0,0,1,0
354134acc878,7603712,78.81,2025-04-30T21:15:18.170768,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,4,2042.11,21,0,0.04,13,1,0,0,0,0
bf905f6362ae,9797148,335.98,2025-05-25T08:13:04.170778,GB,,GB,Android,Debit Card,0,0,1,0,2,0,20390.07,8,1,0.02,66,6,0,0,0,0
9a4a6854d3df,1016570,43.99,2025-05-19T13:34:04.170788,IN,Karnataka,"Karnataka, India",Android,Wallet,1,0,0,0,0,4,1409.21,13,0,0.03,3,1,0,0,1,0
b06a0f37fc56,6956752,59.65,2025-05-17T05:51:27.170799,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,3,2039.6,5,1,0.03,24,2,0,0,0,1
1b500919b33a,3880438,15.39,2025-05-08T13:38:39.170809,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,1,1539.49,13,0,0.01,2,0,0,0,1,0
885b2bdbddfe,8463047,27.58,2025-05-02T00:06:05.170820,IN,Maharashtra,"Maharashtra, India",Android,Credit Card,0,1,0,2,0,0,4630.89,0,0,0.01,37,3,0,0,0,0
e12e7f6e3fa5,6695140,17.52,2025-04-29T15:44:40.170831,IN,Uttar Pradesh,"Uttar Pradesh, India",Android,Debit Card,0,1,0,3,0,0,6507.41,15,0,0.0,48,4,0,0,1,0
53736adf0278,5925356,19.59,2025-04-23T13:16:03.170843,IN,Uttar Pradesh,"Uttar Pradesh, India",iOS,Wallet,0,1,0,3,0,1,7240.78,13,0,0.0,36,4,0,0,1,0
3701a7e6f6fc,2789952,273.93,2025-04-05T15:01:46.170855,IN,Gujarat,"Gujarat, India",Android,Credit Card,0,1,0,2,0,0,3693.38,15,1,0.07,22,3,0,0,1,0
b0e4547c7e1d,7545915,5517.07,2025-05-19T10:50:13.170866,DE,,DE,Android,Credit Card,0,0,1,0,2,0,16479.66,10,0,0.33,65,6,0,0,1,0
c3a2d06311f3,9047801,177.86,2025-04-28T21:55:11.170876,IN,Delhi,"Delhi, India",iOS,Credit Card,0,1,0,2,0,0,2986.58,21,0,0.06,27,3,0,0,0,0
f8779d814b64,7379718,173.61,2025-05-19T14:55:30.170888,IN,Delhi,"Delhi, India",Android,Credit Card,0,1,0,2,0,0,5863.97,14,0,0.03,38,3,0,0,1,0
83d0b64d79bd,9291739,34.8,2025-05-12T14:26:30.170898,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,1,1290.55,14,0,0.03,0,0,0,0,1,0
f4b4f2ea9920,2816610,32.97,2025-04-30T04:02:27.170909,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,1,1320.19,4,0,0.02,15,2,0,0,0,1
2d833927f67f,9666540,46.53,2025-05-17T03:23:37.170920,IN,Karnataka,"Karnataka, India",iOS,Net Banking,1,0,0,0,0,1,1441.47,3,1,0.03,21,2,0,0,0,1
ab3069d80dd0,5998752,46.14,2025-04-05T14:31:31.170929,IN,Maharashtra,"Maharashtra, India",Android,UPI,0,1,0,2,0,1,3971.22,14,1,0.01,23,3,0,0,1,0
01999d88c51a,9192731,171.67,2025-05-18T04:26:50.170941,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,3,1519.82,4,1,0.11,14,2,0,0,0,1
6a17107df155,3956955,41.81,2025-05-09T14:06:39.170952,IN,Karnataka,"Karnataka, India",iOS,Debit Card,1,0,0,0,0,1,1107.65,14,0,0.04,0,0,0,0,1,0
77099ad7bb4b,9544762,49.78,2025-05-22T07:17:15.170962,JP,,JP,Android,Credit Card,0,0,1,0,3,0,18927.38,7,0,0.0,78,8,1,0,0,0
9459df316c47,1233235,11.24,2025-05-10T17:21:53.170973,IN,Karnataka,"Karnataka, India",macOS,Debit Card,1,0,0,0,0,0,2929.75,17,1,0.0,4,0,0,0,1,0
293e80fc7c7f,5590355,25.98,2025-04-10T20:57:23.170984,IN,Karnataka,"Karnataka, India",Android,Debit Card,1,0,0,0,0,1,1609.83,20,0,0.02,0,0,0,0,0,0
40e78e3909d4,9297832,30.44,2025-05-15T21:10:10.170993,IN,Karnataka,"Karnataka, India",Android,UPI,1,0,0,0,0,2,2073.48,21,0,0.01,0,0,0,0,0,0
6f5e85c9a12b,3208637,37.62,2025-05-16T23:20:37.171012,GB,,GB,macOS,Wallet,0,0,1,0,2,0,20745.32,23,0,0.0,66,6,0,0,0,0
29b0d5ef8b88,1865592,139.19,2025-04-17T09:37:36.171024,DE,,DE,Android,Debit Card,0,0,1,0,2,0,15418.55,9,0,0.01,51,5,0,0,1,0
76b8628f70e0,3778720,17.94,2025-03-31T03:39:09.171035,IN,Karnataka,"Karnataka, India",iOS,Debit Card,1,0,0,0,0,1,1020.38,3,0,0.02,16,2,0,0,0,1
53661fd2aeca,9986668,138.75,2025-05-14T13:42:47.171047,IN,Tamil Nadu,"Tamil Nadu, India",iOS,Credit Card,0,1,0,1,0,0,4689.27,13,0,0.03,23,2,0,0,1,0
e27db6060d57,5332324,29.62,2025-05-12T00:41:47.171058,GB,,GB,Android,Credit Card,0,0,1,0,2,0,36736.41,0,0,0.0,52,6,0,0,0,0
48756217b061,9139586,456.95,2025-05-02T12:17:24.171069,AU,,AU,Android,Credit Card,0,0,1,0,2,0,9331.45,12,0,0.05,52,6,0,0,1,0
d9bae1f4cac8,7962967,564.57,2025-04-27T19:31:17.171080,IN,Delhi,"Delhi, India",Android,Credit Card,0,1,0,2,0,1,3197.57,19,1,0.18,26,3,0,0,0,0
d0ba2b77c11e,5844875,217.6,2025-04-07T23:38:24.171091,IN,Delhi,"Delhi, India",iOS,UPI,0,1,0,2,0,0,4709.1,23,0,0.05,40,4,0,0,0,0
